command_address,response_address,command_memory,response_memory,command_memory_count,response_memory_count,comm_read_function,comm_write_fun,resp_read_fun,resp_write_fun,sub_function,command_length,resp_length,gain,reset,deadband,cycletime,rate,setpoint,control_mode,control_scheme,pump,solenoid,crc_rate,measurement,time,result
1.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.24867314509792,b'6'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.540229856967926,1.0741729815799,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.28202045430367,b'0'
2.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.00476683799104,b'6'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.27290129581033,b'0'
34.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.11655247952467,b'6'
35.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.22455102021769,b'6'
36.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.10039236130779,b'6'
37.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.04594186834539,b'6'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.05308792199647,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.23698120013439,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.02659201272483,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.0117750868886,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.25598521323802,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.28393089051313,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.528735637664795,1.29165373601809,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.16351008195502,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.14329244130145,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.29362088583674,b'6'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.21675584146424,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.26847772574025,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.26060651629425,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.2193830385068,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.551724135875702,1.04562901481569,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.17308668970467,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.29027845787221,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.10923942027739,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.11237031083731,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.20067391275109,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.04730466493358,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.23520046057945,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.26564367139072,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.20760131741767,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.08082558953898,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.1705172285161,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.19276122254777,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.04949013570031,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.13596067351909,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.563218414783478,1.16558741444869,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.11955691022816,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.574712634086609,1.12494421252475,b'0'
105.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.27512924918476,b'6'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.05019630201328,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.13247017619514,b'0'
6.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.12481958687977,b'6'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.02799222196421,b'0'
6.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.26671257661959,b'6'
6.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.2748653119696,b'6'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.02997743206201,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.07421884676672,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.08057144687915,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.05543081244119,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.05739073843859,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.11809243222548,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.16957845673066,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.22480845520117,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.06718400109943,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.0248314352938,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.07106341832449,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.26072641079609,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.1446529369139,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.10083420791755,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.17192657992655,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.23869048059363,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.11536444556577,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.16505749212321,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.27499640043084,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.22366623473751,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.01770290403301,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.632183909416199,1.15564270520478,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.0614729171063,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.20664687473612,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.07899373676432,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.02341592762148,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.02339996448761,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.04073097857535,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.26067948359921,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.27155697337138,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.0993593445644,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.19582639344615,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.28701724670641,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.632183909416199,1.1970785611359,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.01296313872557,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.08076269407026,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.10519586632291,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.586206912994385,1.00892106356125,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.2242952643634,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.10170448444983,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.05643047312475,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.20475022236282,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.00838471324872,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.632183909416199,1.06672253924702,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.15717803928611,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.21561746120087,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.25584612580621,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.29819487224708,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.01141180854929,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.632183909416199,1.22886624997124,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.07748510045285,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.620689690113068,1.12397263990713,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.609195411205292,1.03222973781961,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.22313488929417,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.632183909416199,1.07724579339428,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.22080819547246,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.632183909416199,1.03941386848768,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.14842634138498,b'0'
4.0,4.0,183.0,233.0,9.0,18.0,3.0,10.0,3.0,10.0,0.0,41.0,19.0,115.0,0.2,0.5,1.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.597701132297516,1.10575137651882,b'0'
